stage,layer,record_identifier,field,value,violation,severity
2A,navaidComponents,JEPP_MKR_SF_EK_MIDDLE,ident,SF/EK,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SF_EK_OUTER,ident,SF/EK,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SJ_ES_MIDDLE,ident,SJ/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SJ_ES_OUTER,ident,SJ/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SOE_ES_MIDDLE,ident,SOE/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SOE_ES_OUTER,ident,SOE/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SOK_ES_MIDDLE,ident,SOK/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SOK_ES_OUTER,ident,SOK/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SVJ_EK_MIDDLE,ident,SVJ/EK,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SZA_LF_MIDDLE,ident,SZA/LF,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SZA_LF_OUTER,ident,SZA/LF,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SZN_LH_MIDDLE,ident,SZN/LH,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SZN_LH_OUTER,ident,SZN/LH,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SZS_LH_MIDDLE,ident,SZS/LH,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_SZS_LH_OUTER,ident,SZS/LH,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_TRH_ES_MIDDLE,ident,TRH/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_TRH_ES_OUTER,ident,TRH/ES,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_TT_LZ_MIDDLE,ident,TT/LZ,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_TT_LZ_OUTER,ident,TT/LZ,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaidComponents,JEPP_MKR_VTS_LI_MIDDLE,ident,VTS/LI,marker_ebeveyn_loc_ils_bulunamadi,warning
2A,navaids,LT_NAV_MEN,type,MEN / DHMI TURKIYE (2 aday),tipsiz_navaid_birden_fazla_ana_kaynak_adayi,warning
2A,routeSegments,EAD_RS_017553,-,-,iptal_kuraliyla_cikarildi,warning
2A,routeSegments,EAD_RS_029019,-,-,iptal_kuraliyla_cikarildi,warning
2A,routeSegments,EAD_RS_041073,-,-,iptal_kuraliyla_cikarildi,warning
2A,routeSegments,EAD_RS_041074,-,-,iptal_kuraliyla_cikarildi,warning
2A,routeSegments,EAD_RS_042335,-,-,iptal_kuraliyla_cikarildi,warning
2B,navaidComponents,EAD_GP_IDET_259923627,navaidLabeling_channel,0.3323,kanal_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_GP_IAK_101001007688756,navaidLabeling_channel,109.7,kanal_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_DME_CTI_400003102250460,navaidLabeling_freq,OTHER,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_DME_GGI_400003298366151,navaidLabeling_freq,,frekans_icin_kanal_yok,warning
2B,navaidComponents,EAD_DME_GGI_400003298366151,navaidLabeling_channel,,kanal_kaynakta_yok,warning
2B,navaidComponents,EAD_DME_GEI_400003298366148,navaidLabeling_freq,,frekans_icin_kanal_yok,warning
2B,navaidComponents,EAD_DME_GEI_400003298366148,navaidLabeling_channel,,kanal_kaynakta_yok,warning
2B,navaidComponents,EAD_DME_JBI_400003298366160,navaidLabeling_freq,,frekans_icin_kanal_yok,warning
2B,navaidComponents,EAD_DME_JBI_400003298366160,navaidLabeling_channel,,kanal_kaynakta_yok,warning
2B,navaidComponents,EAD_DME_ELI_400003298366166,navaidLabeling_freq,,frekans_icin_kanal_yok,warning
2B,navaidComponents,EAD_DME_ELI_400003298366166,navaidLabeling_channel,,kanal_kaynakta_yok,warning
2B,navaidComponents,EAD_DME_LAI_400003298366172,navaidLabeling_freq,,frekans_icin_kanal_yok,warning
2B,navaidComponents,EAD_DME_LAI_400003298366172,navaidLabeling_channel,,kanal_kaynakta_yok,warning
2B,navaidComponents,EAD_DME_KSI_400003298366163,navaidLabeling_freq,OTHER,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_GP_IDAN_400004839820641,navaidLabeling_channel,322.0,kanal_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_GP_IAOG_400004979222982,navaidLabeling_channel,333.1,kanal_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_DME_HNU_800001648161235,navaidLabeling_freq,63X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_DME_LGJ_1403473474,navaidLabeling_freq,67X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_DME_LM_400004216779368,navaidLabeling_freq,38W,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_EVS_4701564,navaidLabeling_freq,67X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_ZZA_4963006,navaidLabeling_freq,64X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_BOD_106558393,navaidLabeling_freq,69X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_CRD_81081050,navaidLabeling_freq,60X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_DWG_4702259,navaidLabeling_freq,2X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_DYS_4702262,navaidLabeling_freq,63X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_LKI_4702322,navaidLabeling_freq,11X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_LSV_4702331,navaidLabeling_freq,12X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_MTC_4702349,navaidLabeling_freq,64X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_NGS_95802970,navaidLabeling_freq,63X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_NOG_4702403,navaidLabeling_freq,63X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_PAM_4702463,navaidLabeling_freq,64X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_WRB_400003375657000,navaidLabeling_freq,10X,frekans_eslestirmesi_bulunamadi,warning
2B,navaidComponents,EAD_TAC_XSF_4702514,navaidLabeling_freq,65X,frekans_eslestirmesi_bulunamadi,warning
2B,navaids,LT_NAV_KAM,navaidLabeling_freq,VOR,frekans_bileseni_yok,warning
2B,navaids,LT_NAV_KAM,navaidLabeling_channel,,kanal_kaynagi_yok,warning
2B,navaids,LT_NAV_KAM,navaidSymbology_declination,,declination_bileseni_yok,warning
